
+--------------------------------------+--------------------------------------+-----------+------------+----------------+-----------------+
| id                                   | loadbalancer_id                      | status    | role       | lb_network_ip  | ha_ip           |
+--------------------------------------+--------------------------------------+-----------+------------+----------------+-----------------+
| 0128574b-05db-4dde-8014-f5e491d63a30 | 0a3e991b-b497-4d75-b960-37521c7b8f4b | ALLOCATED | STANDALONE | 192.168.33.255 | 10.10.10.103    |
| 017e09ea-a009-47e9-a30c-f1095bde3508 | cb138311-8dfa-4a1e-9d35-387ed70fcc63 | ALLOCATED | STANDALONE | 192.168.36.233 | 10.10.10.26     |
| 01b87a1e-0fa4-41c9-960b-57057a25f005 | 7643bae7-5b73-412d-8ee5-5dd679e2c473 | ALLOCATED | STANDALONE | 192.168.10.48  | 10.10.10.155    |
| 02345878-3fdf-4358-be1f-7ab168936971 | cf5f8049-6f7e-4fec-855b-d479d08d3052 | ALLOCATED | STANDALONE | 192.168.10.169 | 10.10.10.24     |
| 033b160e-0fc2-4bd9-9cc7-9b7c53ff05fd | 7c68af61-2f2f-48ce-b976-bdf845929abb | ALLOCATED | STANDALONE | 192.168.33.159 | 10.10.10.235    |
| 03431745-f15b-41bb-af7f-2cbe6f28204f | b84bf03e-a806-4159-9fb4-a3aa853ef688 | ALLOCATED | STANDALONE | 192.168.10.142 | 10.10.10.216    |
| 048e269b-d533-40f1-89bd-f2ad5e6088df | a942b11c-6889-40a5-a45f-616ba860942a | ALLOCATED | STANDALONE | 192.168.34.40  | 10.10.10.84     |
| 05366266-59a4-47c6-b897-5af52ec1bfbf | 6b828830-ff88-4839-81f7-009a47a0e29f | ALLOCATED | STANDALONE | 192.168.10.116 | 10.10.10.23     |
| 06b63899-d0d5-4baf-a01f-d09b1ac4cd5c | 8cbcd26c-4f8d-4b2f-aabe-5883d9412328 | ALLOCATED | STANDALONE | 192.168.35.216 | 10.10.10.161    |
| 07b1c289-c0cb-4c19-afd9-f61dc543474f | 7c06624e-6bc9-4a98-b516-2600b08e3645 | ALLOCATED | STANDALONE | 192.168.37.22  | 10.10.10.31     |
| 07b8750a-be96-4e0b-9a94-23a79ea46808 | 69dae821-4964-49cc-82ca-f3d354b3b56d | ALLOCATED | STANDALONE | 192.168.35.174 | 10.10.10.12     |
| 07c1e532-8feb-43fa-849b-0841ef21f8b3 | d5bda2bd-dd67-4f54-9e36-3a250c5dee3a | ALLOCATED | STANDALONE | 192.168.35.91  | 10.10.10.147    |
| 07f6c2a1-b6f3-40ad-9080-005111f85a3c | e4bac9c1-efcf-4491-9f8c-aaa05737c851 | ALLOCATED | STANDALONE | 192.168.35.214 | 10.10.10.29     |
| 0837c0d6-f0ea-4e3e-8b74-c64866bd780f | c9aac149-31b5-49fb-9a18-e8210c3c04f8 | ALLOCATED | STANDALONE | 192.168.10.73  | 10.10.10.8      |
| 08d16cee-9d52-4fc1-8770-0b1ea2c3afca | e167f6a4-1b39-42ac-8bc2-70cb39efa630 | ALLOCATED | STANDALONE | 192.168.33.70  | 10.10.10.22     |
| 0920b88c-e6a5-4a3c-8e14-d879ac86c935 | 73800d9f-909c-4b2e-9695-f4ce76698f18 | ALLOCATED | STANDALONE | 192.168.37.16  | 10.10.10.31     |
| 0a29b8e5-e1b8-4b68-b150-cfdf0fe795cd | 3e03960f-ee9c-4db6-a1f4-199e2dff9545 | ALLOCATED | STANDALONE | 192.168.32.227 | 10.10.10.66     |
| 0a9dcf3b-c7dc-4124-bf1c-b60e1b8b9503 | 9c809d39-a4c4-4181-ae33-a9a218ca1223 | ALLOCATED | STANDALONE | 192.168.10.44  | 10.10.10.16     |
| 0aa7f9f6-9abb-40ec-9947-ab1c4d516edf | 9a0aebd5-d31b-4f48-96f4-633dabe989ec | ALLOCATED | STANDALONE | 192.168.10.7   | 10.10.10.220    |
| 0ac8b455-7956-403b-b753-4c6705adb2af | 47239859-cab9-4d1e-9595-ebd411f77a37 | ALLOCATED | STANDALONE | 192.168.36.100 | 10.10.10.63     |
| 0b8eb0ab-36bd-403a-91d9-c9145b42ce63 | 5ee6a9a1-896d-4c8d-8c73-5d7d30c3f392 | ALLOCATED | STANDALONE | 192.168.33.23  | 10.10.10.19     |
| 0bb304cc-71bb-49a5-b046-6af5ced06b21 | 272cea46-c18b-4711-8d4d-0a54c44010a9 | ALLOCATED | STANDALONE | 192.168.32.43  | 10.10.10.34     |
| 0bdede42-75e3-48a2-a45b-f277e03d5748 | 09c66d07-5181-41bb-8f98-50f86fb9eec0 | ALLOCATED | STANDALONE | 192.168.10.161 | 10.10.10.12     |
| 0ce01ac0-066b-4a42-abf1-c30e0ddbbf74 | 25212f36-12f5-435b-bb80-495932ca8083 | ALLOCATED | STANDALONE | 192.168.36.1   | 10.10.10.155    |
| 0d5c448a-e4da-423d-b26f-6cabacc4a4cc | 3394f6ca-424b-49bc-9135-88a3e8db88db | ALLOCATED | STANDALONE | 192.168.34.125 | 10.10.10.164    |
| 0dc06022-5f09-45c6-a192-c1fb1961db09 | 3f42048e-dd30-4228-965b-fa1112b88f5b | ALLOCATED | STANDALONE | 192.168.34.15  | 10.10.10.215    |
| 0dc95b89-4fc8-4910-857c-ff1f61306ecc | 27a9a717-987d-427d-9d39-7856b1c2330a | ALLOCATED | STANDALONE | 192.168.10.182 | 10.10.10.159    |
| 0e459d7d-b7a9-4756-bc5c-63825125eb5b | 4833d28a-2b6e-4000-b048-691a7c816f89 | ALLOCATED | STANDALONE | 192.168.10.6   | 10.10.10.111    |
| 0ef59c69-2593-4aeb-a78f-d16621e954f1 | 29421506-6e49-4435-b549-0739fc62ab1a | ALLOCATED | STANDALONE | 192.168.33.217 | 10.10.10.235    |
| 0f049d86-61f4-475c-b97c-cde1ca6db3f1 | 619e9c1a-797e-413f-9466-7eb379588d60 | ALLOCATED | STANDALONE | 192.168.36.128 | 10.10.10.11     |
| 0f0c7bae-7318-44b8-a4d9-cd73ffae13ee | 31fd856e-6a57-42e7-977f-b54132fcebc7 | ALLOCATED | STANDALONE | 192.168.10.49  | 10.10.10.243    |
| 0f7c8d2d-5827-4583-add3-5a66e87eaef3 | cbffdd98-9034-4718-a25e-cdfc705edb36 | ALLOCATED | STANDALONE | 192.168.10.31  | 10.10.10.173    |
| 0f80faf9-53a7-49a0-a260-bfdb2ced2033 | 9455bfe9-1fad-425e-ac10-d2d96a7ec15f | ERROR     | STANDALONE | 192.168.35.179 | 10.10.10.7      |
| 0fa27e99-7f29-486f-a906-b00aa57276fa | 3035f436-1991-4578-9d7f-8d46842067e6 | ALLOCATED | STANDALONE | 192.168.33.218 | 10.10.10.153    |
| 11d27fb4-6bde-4013-b3f2-e413184c1773 | 0f3469ff-d0ec-4c4b-807e-b1d7a414eb0b | ALLOCATED | STANDALONE | 192.168.32.115 | 10.233.233.232  |
| 126c007c-baaa-44da-b49a-b472e15bd567 | 865d661b-6005-453d-96d5-bed9a6cb4265 | ALLOCATED | STANDALONE | 192.168.35.218 | 10.10.10.147    |
| 12b5fac9-60a3-479b-8d32-c1efff552387 | 411916d9-0c3e-40ef-b3ad-cf1ff3691ac0 | ALLOCATED | STANDALONE | 192.168.36.2   | 192.0.2.141     |
| 12c80c4f-7cde-47e6-a671-0b4a447ef1f8 | b76ef647-fd76-4a6e-830c-b60bc686fc72 | ERROR     | STANDALONE | 192.168.34.203 | 10.10.10.187    |
| 134eba14-6d54-48bc-aa4d-7ecc8aa6fe5f | f9cdc181-d6f2-42b8-8310-0e9ef8f2bfa1 | ALLOCATED | STANDALONE | 192.168.33.45  | 10.10.10.208    |
| 13506ed1-f802-4e2f-bd0d-c47f14f0a6a7 | 299b3888-4b2f-4f84-b081-a29f77aecc19 | ALLOCATED | STANDALONE | 192.168.10.12  | 10.10.10.34     |
| 1396e5f5-3308-49ed-9ac0-bdec7b020521 | e437ab05-0796-4083-bba0-a76f09169958 | ALLOCATED | STANDALONE | 192.168.37.19  | 10.10.10.19     |
| 1509a7db-a1dc-4395-9b6d-cd4623cfb981 | 3e3beed6-9f0e-430d-99ef-fc5cf50ad05b | ALLOCATED | STANDALONE | 192.168.34.52  | 10.10.10.6      |
| 15b2381f-1334-48d1-af31-1a8df9dc2693 | 68f5adb2-6685-43bd-b075-5fca75216001 | ALLOCATED | STANDALONE | 192.168.10.191 | 10.10.10.212    |
| 170352b3-6f5a-4f22-ad18-9d7371348c89 | 65590161-05f0-48e6-ad88-d41fc67f8575 | ALLOCATED | STANDALONE | 192.168.36.82  | 10.10.10.13     |
| 1805b81c-e22f-48a3-b008-a8842fda8e2d | 5bbaa114-4bef-43ce-a537-e9cda9af8812 | ALLOCATED | STANDALONE | 192.168.32.249 | 10.10.10.217    |
| 183e45da-46c7-47fa-8dc6-4a3f34eeecd7 | f8415c23-e751-4079-a01f-78be84c13723 | ERROR     | STANDALONE | 192.168.35.107 | 10.10.10.239    |
| 1971bafe-db30-4d93-b41d-90d20febf000 | e10c8a79-f727-4965-8dde-b476ace111ae | ALLOCATED | STANDALONE | 192.168.35.8   | 10.10.10.154    |
| 1aab93b3-49eb-4135-8589-df4670585e6b | 68dc10b4-567b-4225-b76c-c860d74ba8b7 | ALLOCATED | STANDALONE | 192.168.35.131 | 10.10.10.60     |
| 1b3d3760-921d-4ccf-8723-f4fe98e7e426 | 1f135f8a-159e-4ef1-b08d-3d9a5ef013cd | ALLOCATED | STANDALONE | 192.168.10.14  | 10.10.10.114    |
| 1b8613bb-3bee-4fcf-a87e-f7b1adde88a5 | a8afc0fc-d29f-40b7-94e9-2c0ff969d73a | ALLOCATED | STANDALONE | 192.168.10.101 | 10.10.10.18     |
| 1b991533-53b7-4457-820f-da0e356cc0ab | 17a1c0e3-6941-4c91-a75b-44c79aee7045 | ALLOCATED | STANDALONE | 192.168.35.59  | 10.10.10.110    |
| 1bd9729f-67a8-49d6-b4f4-61316fbb5ae9 | 85459d16-dab6-4799-9146-150bf8cd75de | ALLOCATED | STANDALONE | 192.168.37.23  | 10.10.10.26     |
